t,d1,d2,x
0,4,4,46.40362368471644
0,3,1,49.97693178729906
0,4,3,48.59812995953508
0,4,4,59.156745254238984
0,4,4,48.6510538952896
0,0,4,57.967884166422664
0,4,4,46.98071609243431
0,3,0,49.0688937814361
0,2,0,48.75678794734184
0,0,3,49.158000369838135
0,1,1,43.925591067424705
0,1,1,47.760814729711726
0,3,3,51.90748306243202
0,0,1,51.549181448842695
0,0,3,51.83636853037346
0,1,1,47.4458490535979
0,2,2,44.36958599361913
0,4,0,52.26128897420603
0,2,3,38.4000979816432
0,0,4,56.382065110666325
0,3,1,50.03553554175799
0,2,3,54.476563028077464
0,2,2,49.133503573223095
0,0,2,45.82826474697402
0,1,0,56.00035970987401
0,0,3,53.01397121639841
0,2,3,50.03279184277551
0,2,1,47.382364756071844
0,3,4,57.036552659728926
0,2,2,57.75569702753108
0,3,4,46.985607854148896
0,2,2,46.605932531269495
0,1,1,47.872396419116136
0,2,0,43.510557827552915
0,3,3,48.925160186641286
0,3,2,50.99144374493004
0,3,2,40.93384334414196
0,2,3,46.42572157636625
0,3,0,54.68848346465216
0,4,2,50.46706310497641
0,1,4,38.90832114441808
0,2,1,51.067925636583745
0,3,0,54.59571092831585
0,1,4,55.21953176382383
0,2,2,54.563753199143584
0,1,0,47.14908901268533
0,4,3,47.115214492935166
0,2,0,48.05540414276518
0,3,2,54.412061360514556
0,0,1,44.846285522185525
0,3,4,46.65365133902088
0,2,3,52.22715060453602
0,3,0,48.09085165047232
0,0,1,42.330390763053536
0,0,1,51.66491165741552
0,0,4,55.3252669484069
0,3,0,46.29262080306363
0,2,0,49.100630227694054
0,3,4,48.43309449128632
0,0,1,50.16540746626303
0,4,0,54.359073105807795
0,0,3,51.66011327386937
0,0,2,47.25182105780228
0,2,0,46.82374670540753
0,3,3,52.42628907878421
0,2,1,43.071672242881085
0,3,4,44.91634041395332
0,0,3,51.60279018021992
0,0,3,52.14733677390901
0,0,0,46.07118678470813
0,3,4,49.04669099628575
0,0,4,57.10682718930133
0,2,3,43.0269777473572
0,2,3,50.03900226187243
0,0,1,44.61991101368375
0,4,0,56.091123559562696
0,3,4,44.10597461943814
0,4,2,48.16443045574268
0,0,3,49.388255767942326
0,4,2,46.63510755465891
0,3,3,48.35441298458802
0,3,4,49.80546245412312
0,4,0,52.96086852984419
0,1,2,41.511330710062865
0,3,1,48.75443308109702
0,0,4,47.99690841019031
0,0,2,48.01939606029064
0,0,3,57.9567018608796
0,1,0,47.07491683936007
0,0,3,54.69667953511147
0,4,0,52.487191216950485
0,1,3,47.64728362310751
0,3,2,52.45337854865576
0,1,1,50.41858449245409
0,0,3,51.96285435653299
0,0,2,47.074055514821914
0,4,2,55.33090490053326
0,3,3,47.587637961056686
0,3,1,48.86946619093826
0,1,0,56.079354975751215
0,0,2,49.19937957920128
0,0,2,49.50847813661162
0,1,2,52.67648225094578
0,2,2,58.34442585285583
0,0,3,47.24195581825209
0,3,0,50.70982776362785
0,1,3,51.9377290468642
0,1,1,48.376863560562015
0,4,0,47.25605955215808
0,0,4,55.17640385299514
0,0,1,48.07850858992927
0,3,3,57.09383871879357
0,2,2,43.4413835777605
0,3,3,51.46781610132718
0,2,3,53.06534217914756
0,4,3,52.27453198375111
0,3,1,45.62437514807596
0,3,4,43.33353491258429
0,0,2,45.9261156355976
0,3,2,55.264912307420126
0,0,3,56.378463549409624
0,4,3,47.06631880350306
0,2,3,60.08478169660141
0,3,3,48.964642146236905
0,4,1,54.047180432776535
0,0,1,49.96930598664767
0,2,0,48.912682001408875
0,3,0,54.74088441672075
0,3,1,56.37295339822345
0,1,3,55.713623489583135
0,3,2,50.05373754149172
0,4,1,51.620839238576075
0,3,1,51.81120187887484
0,3,0,60.38275625553689
0,1,4,45.9243761300597
0,1,2,49.628280248139085
0,1,2,45.49005447207257
0,3,4,49.72584788153473
0,2,0,47.74662235190084
0,2,2,53.55035186146321
0,4,0,44.924337930824585
0,3,0,59.35914518281933
0,1,3,53.227183330443104
0,2,4,42.641745990548316
0,3,4,46.19267643208873
0,1,3,46.977167359087694
0,4,0,42.09634179682994
0,2,0,56.84187139361718
0,2,2,46.45607611344758
0,0,4,47.31970443296383
0,1,2,44.43118201024927
0,0,2,50.27341875663907
0,4,4,48.92225853385523
0,0,2,50.4562964231776
0,3,4,52.855897635880815
0,2,0,47.36780814097486
0,0,0,48.57570765568096
0,0,1,45.2871567280693
0,1,2,37.84844515209498
0,1,2,49.40920282905748
0,0,4,42.66626849704456
0,3,2,54.96632896930069
0,0,1,50.98285309874013
0,3,3,51.84303312435322
0,0,3,48.405202727984594
0,4,0,43.16565579461615
0,4,1,55.114956055850186
0,0,0,51.61867157691822
0,1,4,44.42031211263359
0,3,3,55.47416980691746
0,4,4,46.4200928400896
0,3,1,54.51667262216507
0,2,0,53.21782857611908
0,1,0,49.42201113812597
0,1,2,55.27884766040243
0,2,1,53.1280806817777
0,1,1,40.85859461896655
0,4,0,54.431929914009345
0,2,4,61.26517924838543
0,4,2,54.94739874737941
0,4,0,50.47102995579048
0,2,3,50.27980385129615
0,3,2,46.78123092697051
0,3,2,47.402867306503765
0,1,0,49.4432358512464
0,2,3,47.022974504771014
0,4,2,50.15275551502485
0,3,4,60.19828793820774
0,3,0,45.33835025492847
0,1,4,55.99989401584711
0,1,4,49.2471837761724
0,1,0,49.64191934494304
0,1,4,49.398935055154624
0,2,1,58.41823732973704
0,0,3,48.090491978985995
0,3,3,55.21106097625372
0,1,4,56.197852442502594
0,4,3,44.4956385151204
0,3,2,51.67979532668542
0,1,2,51.79181100906605
0,1,3,51.54413875636847
0,2,1,46.110105089494596
0,0,1,51.23440086221085
0,0,0,49.726278690907016
0,2,0,44.071014575856
0,4,2,46.14126990332936
0,0,3,46.80647440513235
0,4,4,52.80120309039555
0,3,0,58.812576717806465
0,3,3,49.668057056560286
0,0,1,43.456367823957954
0,0,3,46.84468128452476
0,3,1,49.80909342958627
0,3,0,46.91307021437309
0,0,2,51.89472307198543
0,3,1,48.930197913500045
0,0,3,44.146192739253664
0,2,0,56.50918189741298
0,1,4,53.5476121815042
0,0,0,49.982102290076526
0,4,0,50.72915268980614
0,0,2,50.20525850593994
0,3,2,51.111614468681516
0,4,1,44.337920107595814
0,4,1,56.840598992773174
0,1,1,55.23114067639381
0,0,4,42.31153696980629
0,2,2,41.50079374296341
0,4,3,55.75860892908328
0,4,2,48.5855379805092
0,2,3,49.36564867467932
0,4,4,50.087726239090806
0,3,4,53.07636183514861
0,2,3,64.62327573928415
0,3,3,50.27525353574589
0,0,1,47.95776904719359
0,0,4,47.95891303917455
0,0,2,49.558401095849256
0,3,3,46.582599310256
0,4,1,50.70156038342205
0,4,1,49.649328277357824
0,2,4,47.255513357175936
0,2,1,46.279288832331005
0,4,1,50.39013915375807
0,1,0,47.06743640665518
0,3,3,40.08865539625133
0,3,0,47.313744832262216
0,3,2,49.4790334875882
0,1,0,43.85954462699101
0,2,2,54.45905752821206
0,2,2,54.02528575330435
0,3,4,53.951303454462675
0,2,0,50.84463803453746
0,3,4,54.051896149086886
0,4,1,48.430464907718545
0,4,4,44.62904679006836
0,2,0,54.351886859360974
0,1,4,55.22465626225592
0,2,3,43.46710398342351
0,0,3,48.35459374802662
0,3,3,50.483693041607914
0,0,1,58.12430551094764
0,2,0,55.042623620658155
0,4,0,53.81284583217693
0,3,3,46.55941869875272
0,2,3,49.81237016038416
0,1,4,49.081364171203454
0,2,1,47.00087201943767
0,1,1,46.75200798557812
0,4,4,59.302044050615194
0,1,3,48.49419072953296
0,0,0,53.93900315461468
0,0,4,51.66483821814116
0,0,1,50.20466795782393
0,0,3,45.3046397678889
0,0,2,56.024972517784086
0,1,4,49.196642643683106
0,0,3,53.32095869219145
0,3,0,55.772554342596806
0,1,2,47.65449138283935
0,4,2,54.75549249791255
0,1,0,51.72668917983995
0,2,0,53.16307637813399
0,4,0,54.205703861340574
0,0,4,66.89770063975959
0,0,4,47.21030625191107
0,2,3,38.60791885469958
0,0,2,56.34248282796374
0,4,2,49.16006361030156
0,4,2,52.873635031665884
0,4,1,43.866217485762384
0,1,1,63.4978422081513
0,1,0,56.22356832327642
0,4,2,60.11885758912217
0,1,3,43.80477348446114
0,1,3,43.72710284272752
0,3,3,58.658313780037645
0,1,1,39.37334347476826
0,3,1,51.96395008390418
0,3,4,53.54275312673074
0,1,2,45.78379164912228
0,1,2,49.57379560900388
0,1,2,58.1471890090548
0,0,4,46.91938693340996
0,3,3,54.61944155916868
0,0,3,60.262310330163785
0,4,4,54.113950972372265
0,1,4,52.47357895314338
0,4,2,54.3187789732885
0,0,4,48.63454329312797
0,3,2,54.06830548708347
0,2,0,48.130014504581396
0,1,2,52.43955484069573
0,4,0,58.284895899704736
0,4,1,51.90799615161591
0,4,1,43.55004501626826
0,0,2,59.820417554703525
0,0,1,49.70985113063766
0,2,2,49.221005877538
0,0,4,46.54333907579811
0,3,4,42.99146117344006
0,3,1,51.86351217960885
0,4,1,46.81526299784987
0,1,2,46.84812542277386
0,4,0,36.87034981332355
0,3,0,49.753154170726766
0,3,3,45.08352646050084
0,3,1,55.01223495196652
0,4,1,48.11880321723
0,2,2,56.53487256497934
0,1,1,43.86597471793194
0,2,2,46.08808887287862
0,2,1,49.56001483449577
0,1,2,49.31432128542046
0,3,0,39.658228483461805
0,3,4,56.568592697641655
0,4,4,47.289752994420866
0,4,1,40.654707086826846
0,2,0,47.88523751808691
0,1,4,56.21406838284044
0,1,4,39.900309699679156
0,0,2,55.791371060778175
0,0,4,51.66995040732412
0,2,1,49.229549597293605
0,4,0,48.35402563919507
0,3,2,52.71560148920743
0,3,3,52.77442268637198
0,2,1,54.02456492087384
0,1,2,45.04268997525404
0,0,2,48.78653658800902
0,4,3,52.19830592663062
0,1,0,55.64582273308168
0,4,3,57.769951463212514
0,4,3,50.10324591773013
0,2,1,65.54659001097882
0,0,1,46.94211906670194
0,0,4,53.210900262176295
0,3,2,51.774574177876204
0,1,1,47.206471851737554
0,1,2,56.80147895485069
0,0,3,54.28729652095847
0,4,1,60.934891181165
0,3,1,39.58022678887144
0,3,3,49.294523779624676
0,4,2,48.896105604578594
0,3,2,51.728323611046875
0,4,0,58.86100253081228
0,3,0,51.05232109265566
0,0,0,49.53118513024717
0,3,2,46.53005222456858
0,3,3,42.78080451565353
0,1,4,42.841525349582426
0,3,4,56.73655427774669
0,4,4,55.85986855602411
0,0,1,50.50011744468294
0,3,4,37.48601251467903
0,0,4,52.800343227550165
0,0,3,41.294008773627176
0,3,0,53.3815938286242
0,1,3,55.82146944051799
0,2,1,50.555834909048734
0,3,0,55.141581461578724
0,2,2,45.088800785990095
0,3,2,42.27344426435586
0,0,1,45.8870983939141
0,3,3,46.779510388349976
0,2,3,49.64427203290208
0,0,2,59.77626093524603
0,3,3,48.49461728129267
0,1,2,39.097782265173365
0,4,3,47.92016542712389
0,3,1,48.95674224581955
0,1,3,50.16166751982717
0,2,3,53.683866659999154
0,1,3,49.03083193638366
0,4,4,50.10922098197539
0,1,4,46.900541476406644
0,3,2,43.819910476686154
0,1,1,50.16260895418148
0,3,1,49.09229683492286
0,2,4,45.66024724650471
0,4,2,43.80069938489071
0,1,1,63.58072617966353
0,4,1,54.27868748746193
0,1,3,50.149825879342565
0,4,4,47.93795104061265
0,1,1,58.503343274956876
0,2,4,44.437966489487906
0,2,3,50.45442827394125
0,3,4,49.24167279283855
0,1,3,48.99407948916903
0,2,1,45.60987329186811
0,2,0,50.74375785979416
0,4,1,49.45919819080396
0,2,1,36.506769680988356
0,2,3,46.748840773658635
0,3,1,43.08987993738806
0,0,4,56.774599452619746
0,4,1,51.04126028621999
0,2,4,55.07948240967492
0,0,0,48.19850826499953
0,0,4,55.157373312857075
0,2,4,53.853261171870884
0,3,3,42.66140356430476
0,1,3,52.47050650267417
0,3,3,52.46676392158237
0,2,4,46.31515262780887
0,4,1,52.969416397702865
0,1,3,45.30568229912514
0,1,1,51.84903342546694
0,2,1,50.98873698624317
0,2,1,60.28875415621219
0,4,3,59.122315109552844
0,3,1,46.689028719821636
0,4,0,54.915544983760995
0,2,4,59.18654543637196
0,4,3,41.48655625515279
0,2,2,49.864885041690954
0,1,1,46.37284454248055
0,4,4,47.328771870525756
0,0,2,48.752266655524146
0,1,2,54.60370442591183
0,0,4,55.50953317145793
0,2,0,57.005353879692976
0,0,4,47.6407648455032
0,3,1,53.88254140517139
0,2,1,48.54361068760197
0,0,1,51.749146434858474
0,2,2,36.435122760528486
0,3,3,51.659672715986495
0,0,0,47.90623020667341
0,0,4,56.54796229458379
0,1,2,55.9343350643943
0,0,1,54.40338457063596
0,0,4,51.70961938596058
0,2,0,51.985822887709546
0,3,3,47.34483134973725
0,4,1,56.351638706031885
0,3,3,56.268372976866836
0,3,2,48.807706512109355
0,0,3,53.56946303885866
0,4,1,46.52072997041386
0,4,1,55.365269559736056
0,3,0,55.052104942018815
0,2,2,48.6398644991864
0,4,0,62.17124942809059
0,4,3,49.08647977874176
0,3,4,44.10985794688575
0,1,1,57.64471261897704
0,4,0,51.435407704754184
0,3,1,55.49663945167008
0,1,4,55.31203301827941
0,3,1,54.849762130430065
0,3,3,42.28553402956495
0,2,4,48.13412833489131
0,0,2,45.23774254893881
0,1,0,58.26129236529774
0,0,1,46.7466656453021
0,1,3,59.46989245141535
0,1,0,53.799222213326004
0,4,1,42.554305317105346
0,2,3,51.18232675283265
0,2,4,47.98133222519102
0,3,2,48.341523536443695
0,0,1,52.05603024720228
0,3,1,47.65779278229701
0,2,1,42.32383898291519
0,3,2,53.5335223144269
0,2,1,48.840757072320955
0,2,2,44.37978737733957
0,1,2,57.68405519492196
0,3,4,49.08242139847084
0,1,0,47.627811591361976
0,3,3,51.706937892809606
0,2,2,46.64125613712932
0,2,0,53.55962632867623
0,4,2,48.74738857662998
0,1,4,44.721114613742095
0,0,4,43.138351273539605
0,3,4,48.20131483666575
0,0,4,47.85258032045744
0,4,0,53.99070574563203
0,2,1,50.8584540054882
0,1,3,53.92862486608107
0,0,2,48.62169928514945
0,1,1,56.74096773271203
0,2,0,50.84831789670326
0,1,0,52.22011092825851
0,1,3,45.80439533941589
0,3,3,52.25672134227258
0,0,4,42.20668055786338
0,4,1,48.25830423931977
0,1,0,45.738816218063995
0,1,1,57.95399319144703
0,4,2,48.4628515457443
0,0,4,51.24034526043485
0,2,1,53.79061672612265
0,3,2,47.11987310141319
0,4,3,40.6849613265597
0,1,4,55.211096195134544
0,2,4,41.300506451916064
0,3,2,56.11125671044408
0,4,4,52.66471327599013
0,1,0,47.27879348082314
0,0,4,47.52869977488658
0,4,1,45.724429263430395
0,1,3,50.218291768435975
0,2,1,47.139061103241126
0,4,2,53.05352704677315
0,3,4,51.61978845771434
0,0,3,46.016063313900965
0,4,3,46.673201750520235
0,4,4,45.35042194248227
0,0,1,52.587291623965136
0,2,0,63.5032510370866
0,3,2,50.47416941898219
0,1,4,52.60318490122041
0,2,0,48.297019744740865
0,1,4,41.82242070432467
0,3,2,44.09946163146871
0,2,1,44.95546967757571
0,4,1,54.413412637826085
0,2,2,54.20498911088366
0,1,2,52.68989331270326
0,4,1,45.56524038536399
0,0,1,46.520241826290686
0,2,4,54.48534675486382
0,2,0,55.71960070568683
0,4,4,51.41888222748239
0,2,3,53.26041565529511
0,4,0,57.769091899140356
0,0,0,54.704718258866386
0,2,2,58.492168457146946
0,1,4,48.755382943304795
0,2,0,47.53282377669751
0,4,0,55.5518942294681
0,4,2,49.78722200785941
0,1,1,48.681335405423546
0,1,3,61.6585496903097
0,4,1,50.67136503531471
0,4,0,44.49858397728375
0,2,3,48.234234344669574
0,4,1,45.025150801076826
0,1,1,43.78111666326491
0,2,4,48.37264867567413
0,4,4,48.96078084624103
0,0,3,53.08233923996353
0,1,3,57.42637795235032
0,0,0,46.976179442343295
0,2,4,41.73359599296296
0,1,2,52.09224586085255
0,2,0,41.51824105273299
0,3,2,48.830815556531185
0,1,4,46.385937561562656
0,2,1,49.18732529435304
0,0,1,47.84584072346986
0,2,0,50.0496081866387
0,4,3,52.35003886870886
0,4,4,43.8592428694493
0,0,2,36.34500884910418
0,2,2,51.55537964895884
0,1,0,52.42270528905138
0,0,0,48.720655229512694
0,2,4,46.182394606908915
0,3,1,48.232682751918645
0,4,0,54.92681889261074
0,0,4,60.017938758698236
0,2,1,50.713998701319035
0,3,3,51.72945741298019
0,4,3,55.61318161820677
0,3,3,47.72105989045684
0,0,2,46.12006352697287
0,2,3,56.71027396040738
0,3,4,50.37610207405967
0,3,0,42.44847879121128
0,3,1,49.54206286940221
0,1,4,43.60555303541661
0,3,1,48.90190691361237
0,2,0,51.031282250375355
0,2,2,51.165845265945585
0,2,0,51.077584529838695
0,4,0,47.44038363411353
0,3,0,51.00804945015131
0,0,1,48.86065727064263
0,4,0,46.531357910811856
0,1,4,44.13360497599757
0,2,3,48.61296129585962
0,1,3,41.99180396363587
0,4,4,55.45300329018064
0,1,2,44.198504567323326
0,4,3,55.63124228106176
0,1,1,44.987134960147856
0,2,2,50.13552672263365
0,3,0,48.710489657614964
0,2,2,52.307439479931105
0,2,0,49.20506459242342
0,2,3,50.920081201776405
0,3,0,46.55073434595264
0,2,2,50.062709322026336
0,4,0,47.68721751473655
0,1,4,45.98243437512423
0,3,0,48.92300275899057
0,0,4,43.16512154268859
0,4,1,48.28287526933738
0,3,4,51.4607824205754
0,1,2,44.31460179903259
0,3,1,59.7940435258387
0,4,2,54.291115959463724
0,4,1,56.67139095352321
0,0,1,49.240273917109796
0,2,4,49.35425847556118
0,1,1,46.82140149104806
0,4,2,44.3017790024488
0,4,2,54.031169941567775
0,1,1,43.770409914718016
0,4,1,45.47654805172293
0,0,0,43.78724960905561
0,0,0,39.44230319419614
0,2,1,47.514728162010755
0,3,1,45.63322077071801
0,1,3,55.789257394332125
0,0,0,55.03492014025289
0,0,4,52.48442924781014
0,0,2,51.833074604318966
0,0,4,53.27830461439371
0,2,0,48.062463086103044
0,4,0,47.255619328359955
0,0,3,49.58175156576653
0,2,3,60.12464554184882
0,3,4,44.66142545823946
0,4,3,51.81425498551409
0,3,3,51.62319974073957
0,4,1,44.0622749624218
0,4,1,51.34388951899763
0,4,3,44.57367281286747
0,2,2,53.77528356816952
0,1,2,47.96687942998791
0,3,1,56.04750615059773
0,4,2,49.13170244903679
0,4,2,48.2016326782747
0,0,1,46.724400087298186
0,0,2,51.60858944656676
0,2,4,51.938747875993414
0,4,4,47.334246163364526
0,3,0,47.359043005953325
0,3,2,56.04232433763463
0,0,4,43.483553453651886
0,0,4,53.814026246696045
0,1,4,49.46041870401831
0,4,3,52.227999111933876
0,4,1,55.67506849321216
0,0,2,49.20546646532502
0,0,4,46.79257732136355
0,0,0,46.97676383114205
0,1,3,54.851344926015685
0,1,3,53.78174790647742
0,1,1,55.51119923043785
0,4,2,54.79960889280802
0,1,0,51.912328133022854
0,4,2,48.74347709930396
0,0,4,59.908491592129934
0,4,0,49.14512685306744
0,3,0,62.64613790474868
0,2,2,49.63672316002297
0,0,2,54.264350757039104
0,3,3,48.91609067013026
0,2,4,44.0383247940818
0,3,4,53.93081148289438
0,2,1,49.117563258631186
0,2,2,52.656220885278586
0,1,4,46.83109258430859
0,3,1,52.54655911043069
0,3,2,46.58003004611387
0,0,1,52.89148484343558
0,4,4,58.02297551736449
0,3,3,54.06596453685916
0,3,0,46.413092232862326
0,0,3,48.109539373259146
0,0,0,56.619111052758996
0,1,1,47.44365728842045
0,4,2,50.05067232148965
0,4,2,48.61232933879742
0,1,2,47.169734182962046
0,0,3,55.339667633666956
0,0,2,50.90910013037445
0,0,0,50.10524305690996
0,3,0,51.365168033496836
0,4,0,54.68659682933239
0,4,2,47.170761438928814
0,2,4,35.09040150207035
0,2,0,46.34352474504268
0,3,0,46.803630401221014
0,3,4,51.56513479926884
0,4,2,56.92645571004694
0,2,2,41.38721484340033
0,1,3,49.110581405344824
0,0,2,48.54110527001942
0,4,0,62.980072632924525
0,1,3,39.641189570007725
0,3,4,47.1706621770724
0,0,4,49.32528872146991
0,3,1,46.50830593365738
0,2,3,50.17473317769201
0,1,4,55.62816502570765
0,0,1,42.614626139917064
0,0,0,47.318185013219605
0,3,4,48.79825969175043
0,4,1,44.11621850569031
0,1,1,50.59787458615624
0,0,3,48.77587818521484
0,0,2,52.6231511026937
0,2,0,59.16424935989565
0,1,2,43.07817213367024
0,1,1,49.94486729661814
0,0,4,49.73172038843502
0,1,2,49.678337231789634
0,1,2,50.897997398317834
0,0,4,45.09167793589425
0,0,2,51.58815052203813
0,3,4,49.09881769066064
0,3,0,54.92672841305567
0,3,3,44.18342089310606
0,3,4,50.330687963335926
0,1,4,50.70052728562845
0,2,4,55.68816721264674
0,0,3,47.70712456820816
0,0,1,58.08536991220855
0,4,0,45.68899942427156
0,2,4,50.37325421875795
0,2,2,39.61468509644685
0,0,0,54.84313411234398
0,2,4,51.1975520995154
0,4,1,53.99882120014267
0,1,2,46.43128027168012
0,3,4,47.704234665686826
0,4,3,55.38201788475849
0,3,2,53.84324753590736
0,0,3,55.21320816220135
0,1,0,44.167078893803684
0,4,2,49.90452089809216
0,2,2,51.457270071287724
0,1,3,46.26900978356421
0,4,0,44.86761337033697
0,1,0,55.65902114924654
0,0,3,46.7935164588476
0,2,4,52.41430044482052
0,3,1,52.21770554364393
0,3,3,48.75133207266718
0,3,3,53.60592641838201
0,4,4,45.104583139401264
0,1,4,49.26278366368988
0,2,2,52.92474090559549
0,2,2,51.935542870088824
0,4,0,41.50278928815429
0,2,4,45.35297355059215
0,2,0,47.97670274965051
0,1,3,50.19741410382718
0,1,0,38.67157712406255
0,1,3,54.30531869892303
0,4,3,47.35329078261415
0,4,4,45.38298776165218
0,4,0,46.00826189912944
0,2,4,51.93489433226001
0,3,3,49.93738321155187
0,2,2,46.99097275124714
0,1,1,42.04131666148188
0,3,1,46.79758890952989
0,0,4,45.755670094027295
0,3,3,51.751078108828175
0,1,4,40.190870816617625
0,1,4,52.304748157529495
0,1,2,53.99653775268888
0,1,4,43.65674785054894
0,0,0,39.63644727869659
0,3,2,52.40674439675629
0,0,1,61.04251804522188
0,2,4,49.33589498035327
0,3,4,49.390295090648195
0,2,1,53.69460495322074
0,2,2,43.5458525478718
0,2,2,46.68514898101962
0,1,3,50.34484331838116
0,3,0,40.544160612359676
0,4,2,49.952196948179456
0,3,4,61.181438309023285
0,1,0,48.539762225505655
0,3,2,47.8478120423037
0,1,3,53.09044578587474
0,3,0,51.58310244712819
0,3,1,48.66147923226222
0,2,4,53.74817588919039
0,0,0,42.02306874491845
0,3,0,58.06001813652557
0,4,0,43.71902785482836
0,0,0,48.67083396704629
0,4,1,41.73397256427732
0,3,0,51.62515378476554
0,1,1,51.14011569435601
0,3,0,41.027712081505385
0,2,0,54.93155230453783
0,1,1,54.827542412539785
0,4,0,43.63383123292887
0,3,2,54.147705320565265
0,3,1,58.72344443619042
0,1,4,52.27386358673463
0,3,2,54.51553478293325
0,0,0,49.995236047940544
0,4,0,50.54144565146219
0,3,4,50.313848768349324
0,3,2,46.18094369532113
0,1,1,50.59221413838056
0,2,2,46.780016598041556
0,4,4,46.53296818132066
0,0,1,46.81531026049006
0,0,1,50.378888268228046
0,1,3,48.33509697352909
0,0,0,45.93088100595355
0,2,1,53.294029168682556
0,3,1,50.2025500688608
0,4,3,46.0185614526221
0,3,3,50.95843144356207
0,1,1,58.19600482950749
0,3,4,57.78417618160591
0,2,3,48.63730330758828
0,0,2,52.237827322605604
0,4,4,40.69544596440077
0,2,2,51.343416358295464
0,1,2,52.81530247306199
0,4,4,45.909185829006084
0,3,1,53.755037526423315
0,1,0,52.69856402938504
0,3,2,50.594059357750545
0,2,4,42.13670839827939
0,2,2,55.731604484171406
0,1,0,49.200270120459855
0,0,3,42.04576144778264
0,1,3,55.70127786040515
0,0,3,50.26749312828913
0,1,2,53.35641130668417
0,1,2,48.87144378856779
0,4,4,51.05245366810848
0,0,1,56.300447045269536
0,0,0,45.78804936612484
0,2,3,52.15057240630273
0,3,1,50.29023843119035
0,2,0,49.45736297636234
0,0,3,51.39178035703747
0,4,3,49.07820563752126
0,0,1,55.62982606376784
0,3,0,45.062443219708676
0,3,4,43.329654356546676
0,1,3,48.964604489918905
0,4,1,55.66506435524011
0,2,1,47.47733161826156
0,4,4,49.75345005031122
0,1,4,45.04411694175752
0,0,1,44.91915254810975
0,3,1,53.07295753959639
0,0,2,51.086171736964324
0,0,0,54.45760134965447
0,1,4,53.93176108649368
0,2,4,42.47453797925817
0,0,4,47.69550665186677
0,3,1,45.42034548636878
0,3,3,44.76814421203682
0,2,0,47.57928830230344
0,2,1,57.31190339921072
0,1,0,54.74992149027504
0,4,1,50.728566617129445
0,3,4,49.633505869075066
0,0,3,52.49737751205091
0,1,2,50.05258146506868
0,2,1,45.39894513595942
0,0,1,41.00712972733274
0,4,4,40.610608277838715
0,2,2,50.6925805371674
0,4,4,49.00054464813034
0,4,1,46.714361139885355
0,3,4,56.85261136570505
0,3,0,49.803027176956796
0,4,0,46.94209005240672
0,3,0,50.56130388073471
0,2,2,58.81679025232039
0,4,0,55.725176423250815
0,4,3,50.072604654403186
0,1,2,52.067193287794254
0,1,4,55.47095887550686
0,1,4,46.20647630259428
0,1,3,50.755693433303115
0,0,0,54.03372001264595
0,1,4,51.65434714873217
0,2,4,54.06507567121463
0,0,4,47.83738502514249
0,2,2,48.001593313184564
0,1,4,53.56215516224473
0,4,3,52.79801394563379
0,0,2,56.20383108609297
0,4,2,42.448193297186705
0,2,4,46.17304235187982
0,2,1,52.20498040930893
0,0,3,43.05347461926755
0,2,3,51.263205765569424
0,0,3,42.293005990264945
0,2,2,60.97219830917706
0,4,2,53.146414098644755
0,3,2,45.68396199900787
0,1,2,51.24343368076897
0,1,2,47.704784249186176
